eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
97.42,6.3,108.27,5.9,1372,8.10574e-05,0.0,1.3862051,6.0887378e-05,3.2008848,0.0019391179084777832,1,256,11.937393231000001,16384
109.44,6.2,99.64,6.7,1407,0.0003774465,0.0,1.3855433,-0.00035556508,2.2918336,0.0010409355163574219,2,512,23.574774674,32768
105.73,6.3,91.55,7.1,1405,0.0006424557,0.0,1.3823212,-0.000110915746,2.2212765,0.0005691647529602051,3,768,35.233202389999995,49152
103.99,6.6,102.88,6.3,1395,0.0015384807,0.0,1.3768468,-0.00035327394,2.0105574,0.0014849305152893066,4,1024,46.976008316999994,65536
87.89,7.5,106.72,6.1,1388,0.0021143118,0.0,1.3644129,-0.00044976058,2.39363,0.0045059919357299805,5,1280,58.77567117699999,81920
104.33,6.5,102.7,6.6,1301,0.00097010314,0.0,1.3494034,0.00024540193,2.0586355,0.004580795764923096,6,1536,71.360185458,98304
97.7,6.9,110.16,6.5,1347,0.00097428425,0.0,1.3616396,-4.1663083e-05,2.0350192,0.007670879364013672,7,1792,83.520349617,114688
89.24,7.2,112.98,6.4,1331,0.0021898618,0.0063680015,1.3791428,-0.000968993,2.2784922,0.010850131511688232,8,2048,95.829619041,131072
86.56,7.7,105.72,6.7,1317,0.00016020802,0.0,1.3840871,1.652659e-05,2.0135648,0.011026382446289062,9,2304,108.269982751,147456
80.34,7.4,94.9,7.3,1388,0.0028604707,0.00970459,1.3817664,-0.0013302751,1.767965,0.006629824638366699,10,2560,120.071142485,163840
97.14,6.9,93.25,7.1,1392,0.001029363,0.0,1.3771518,0.00014004832,1.9639474,0.022665739059448242,11,2816,131.841882602,180224
105.23,6.2,105.08,6.6,1394,0.0017077081,0.0,1.371365,2.4472034e-05,1.6406221,0.02184218168258667,12,3072,143.59028626600002,196608
93.51,6.9,82.25,7.9,1395,0.0027400516,0.0025227864,1.3781929,-0.00055958395,1.5973849,0.040959060192108154,13,3328,155.33030995000001,212992
89.85,6.9,95.47,6.8,1375,0.0013808146,0.0,1.3803908,-0.00026445522,1.5474232,0.041570961475372314,14,3584,167.239111791,229376
93.65,7.0,84.76,7.3,1308,0.0021961122,0.0028686523,1.3662695,-0.00031733586,1.4706182,0.050272583961486816,15,3840,179.765004737,245760
85.2,7.5,110.52,6.1,1379,0.004723384,0.009847005,1.366057,-0.00019412913,1.5758153,0.06548440456390381,16,4096,191.63838552500002,262144
86.1,7.5,103.83,6.2,1380,0.005526656,0.039449055,1.3774638,-0.001255597,1.4410065,0.06835281848907471,17,4352,203.506909365,278528
